brand;code;series;model;kind;size;description
sabian;21402XL;AAX;X-Celerator Hats;Hi Hat;14;Crisp and accurate with ‘Air Wave’ bottom eliminating air lock for maximum clarity
sabian;2140287XB;AAX;X-Plosion Hats;Hi Hat;14;Incorporating award-winning X-Plosion Crash design, this medium top–medium-heavy bottom pairing provides incredible foot.
sabian;2160287XB;AAX;X-Plosion Hats;Hi Hat;16;Incorporating award-winning X-Plosion Crash design, this medium top–medium-heavy bottom pairing provides incredible foot.
sabian;21402XBV;AAX;V-Hats;Hi Hat;14;A crisp pair of hats with solid feel, quick stick response, and the sound of silver in its alloy that slices through the music.
sabian;214XFHN;AAX;Freq Hats;Hi Hat;14;A raw bell and exclusive dual-lathing process gate the attack, resulting in a crispy pair of hats that never get out of control. Get your freq on!
sabian;208XAC;AAX;Aero Splash;Splash;8;A great blend of musical effect and trash, the Aero Splash is all about high-end cut, sitting comfortably between Sabian O-Zone and Air Splashes on the white noise spectrum.
sabian;210XAC;AAX;Aero Splash;Splash;10;A great blend of musical effect and trash, the Aero Splash is all about high-end cut, sitting comfortably between Sabian O-Zone and Air Splashes on the white noise spectrum.
sabian;212XAC;AAX;Aero Splash;Splash;12;A great blend of musical effect and trash, the Aero Splash is all about high-end cut, sitting comfortably between Sabian O-Zone and Air Splashes on the white noise spectrum.
sabian;20705XMP;AAX;Max Splash;Splash;7;Designed for Mike Portnoy. Odd-size models with glassy, cutting penetration for fast and punchy accenting.
sabian;20905XMP;AAX;Max Splash;Splash;9;Designed for Mike Portnoy. Odd-size models with glassy, cutting penetration for fast and punchy accenting.
sabian;21105XMP;AAX;Max Splash;Splash;11;Designed for Mike Portnoy. Odd-size models with glassy, cutting penetration for fast and punchy accenting.
sabian;20605X;AAX;Splash;Splash;6;Extremely fast and very bright, with strong penetrating cut.
sabian;20805X;AAX;Splash;Splash;8;Extremely fast and very bright, with strong penetrating cut.
sabian;21005X;AAX;Splash;Splash;10;Extremely fast and very bright, with strong penetrating cut.
sabian;21205X;AAX;Splash;Splash;12;Extremely fast and very bright, with strong penetrating cut.
sabian;20805XA;AAX;Air Splash;Splash;8;A punchy, cutting splash that really opens up and breathes. A raw bell design with AAX hammering and lathing results in a biting splash with plenty of substance and depth.
sabian;21005XA;AAX;Air Splash;Splash;10;A punchy, cutting splash that really opens up and breathes. A raw bell design with AAX hammering and lathing results in a biting splash with plenty of substance and depth.
sabian;21000X;AAX;O-Zone;Splash;10;With its multi-hole design, this small model sounds bright and airy, with a degree of agitation.
sabian;21200X;AAX;O-Zone;Splash;12;With its multi-hole design, this small model sounds bright and airy, with a degree of agitation.
sabian;21187XB;AAX;X-Plosion Splash;Splash;11;Super-fast, bright and cutting, this odd-sized power splash delivers with the right degree of speed and sustain to ensure it cuts through in any style of music.
sabian;21216X;AAX;Mini Chinese;china;12;Aggressive accenting power in the form of cutting, raw-edged attack and quick decay rate.
sabian;21416X;AAX;Mini Chinese;china;14;Aggressive accenting power in the form of cutting, raw-edged attack and quick decay rate.
sabian;21616X;AAX;Chinese;china;16;'Bright, biting response is big, trashy,and brash.'
sabian;21816X;AAX;Chinese;china;18;'Bright, biting response is big, trashy,and brash.'
sabian;22016X;AAX;Chinese;china;20;'Bright, biting response is big, trashy,and brash.'
sabian;21586X;AAX;X-Treme Chinese;china;15;Extremely fast, with a raw and ripping sound that cuts with oriental punch and focused power
sabian;21786X;AAX;X-Treme Chinese;china;17;Extremely fast, with a raw and ripping sound that cuts with oriental punch and focused power
sabian;21986X;AAX;X-Treme Chinese;china;19;Extremely fast, with a raw and ripping sound that cuts with oriental punch and focused power
